2020/5/9 108 15696 613
2020/5/10 66 15762 621
2020/5/11 58 15820 643
2020/5/12 87 15907 668
2020/5/13 55 15962 687
2020/5/14 99 16061 710
2020/5/15 55 16116 725
2020/5/16 56 16172 744
2020/5/17 29 16201 749
2020/5/18 30 16231 763
2020/5/19 32 16263 771
2020/5/20 37 16300 777
2020/5/21 45 16345 796
2020/5/22 30 16375 808
2020/5/23 30 16405 820
2020/5/24 40 16445 830
2020/5/25 22 16467 846
2020/5/26 27 16494 858
2020/5/27 37 16531 867
2020/5/28 62 16593 874
2020/5/29 63 16656 886
2020/5/30 46 16702 891
2020/5/31 33 16735 892
2020/6/1 36 16771 894
2020/6/2 51 16822 900
2020/6/3 26 16848 903
2020/6/4 45 16893 907
2020/6/5 41 16934 914
2020/6/6 45 16979 916
2020/6/7 32 17011 916
2020/6/8 22 17033 916
2020/6/9 30 17063 919
2020/6/10 36 17099 920
2020/6/11 40 17139 922
2020/6/12 57 17196 924
2020/6/13 43 17239 925
2020/6/14 62 17301 925
2020/6/15 60 17361 927
2020/6/16 42 17403 931
2020/6/17 43 17446 935
2020/6/18 68 17514 935
2020/6/19 54 17568 952
2020/6/20 65 17633 953
2020/6/21 48 17681 953
2020/6/22 40 17721 955
2020/6/23 53 17774 963
2020/6/24 89 17863 967
2020/6/25 79 17942 968
2020/6/26 99 18041 970
2020/6/27 88 18129 970
2020/6/28 111 18240 971
2020/6/29 110 18350 971
2020/6/30 132 18482 973
2020/7/1 125 18607 974
2020/7/2 194 18801 975
2020/7/3 249 19050 976
2020/7/4 268 19318 976
2020/7/5 195 19513 976
2020/7/6 174 19687 977
2020/7/7 203 19890 979
2020/7/8 203 20093 980
2020/7/9 352 20445 981
2020/7/10 418 20863 981
2020/7/11 374 21237 981
2020/7/12 390 21627 981
2020/7/13 246 21873 981
2020/7/14 326 22199 983
2020/7/15 438 22637 984
2020/7/16 619 23256 984
2020/7/17 588 23844 984
2020/7/18 654 24498 984
2020/7/19 501 24999 984
2020/7/20 405 25404 987
2020/7/21 618 26022 988
2020/7/22 792 26814 989
2020/7/23 966 27780 991
2020/7/24 766 28546 992
2020/7/25 796 29342 995
2020/7/26 834 30176 995
2020/7/27 583 30759 997
2020/7/28 971 31730 1000
2020/7/29 1245 32975 1003
2020/7/30 1305 34280 1005
2020/7/31 1575 35855 1010
2020/8/1 1537 37392 1011
2020/8/2 1325 38717 1011
2020/8/3 941 39658 1015
2020/8/4 1240 40898 1021
2020/8/5 1344 42242 1025
2020/8/6 1479 43721 1032
2020/8/7 1597 45318 1036
2020/8/8 1521 46839 1039
2020/8/9 1485 48324 1046
2020/8/10 829 49153 1051
2020/8/11 691 49844 1058
2020/8/12 969 50813 1062
2020/8/13 1175 51988 1072
2020/8/14 1355 53343 1084
2020/8/15 1233 54576 1087
2020/8/16 1015 55591 1098
2020/8/17 630 56221 1114
2020/8/18 903 57124 1127
2020/8/19 1078 58202 1143
2020/8/20 1176 59378 1154
2020/8/21 1035 60413 1168
2020/8/22 985 61398 1175
2020/8/23 737 62135 1180
2020/8/24 491 62626 1195
2020/8/25 709 63335 1208
2020/8/26 893 64228 1225
2020/8/27 870 65098 1237
2020/8/28 869 65967 1254
2020/8/29 841 66808 1263
2020/8/30 598 67406 1278
2020/8/31 430 67836 1295
2020/9/1 624 68460 1306
2020/9/2 585 69045 1318
2020/9/3 654 69699 1329
2020/9/4 582 70281 1348
2020/9/5 598 70879 1356
2020/9/6 447 71326 1362
2020/9/7 285 71611 1376
2020/9/8 510 72121 1392
2020/9/9 507 72628 1405
2020/9/10 709 73337 1411
2020/9/11 637 73974 1422
2020/9/12 639 74613 1438
2020/9/13 438 75051 1441
2020/9/14 262 75313 1450
2020/9/15 530 75843 1460
2020/9/16 543 76386 1472
2020/9/17 478 76864 1481
2020/9/18 569 77433 1494
2020/9/19 592 78025 1499
2020/9/20 469 78494 1499
2020/9/21 306 78800 1507
2020/9/22 321 79121 1511
2020/9/23 216 79337 1519
2020/9/24 475 79812 1531
2020/9/25 567 80379 1539
2020/9/26 634 81013 1544
2020/9/27 478 81491 1547
2020/9/28 294 81785 1556
2020/9/29 527 82312 1563
2020/9/30 569 82881 1570
2020/10/1 619 83500 1577
2020/10/2 537 84037 1589
2020/10/3 562 84599 1596
2020/10/4 394 84993 1598
2020/10/5 269 85262 1601
2020/10/6 495 85757 1604
2020/10/7 502 86259 1612
2020/10/8 623 86882 1615
2020/10/9 594 87476 1623
2020/10/10 666 88142 1626
2020/10/11 431 88573 1628
2020/10/12 272 88845 1633
2020/10/13 491 89336 1637
2020/10/14 550 89886 1645
2020/10/15 703 90589 1649
2020/10/16 633 91222 1660
2020/10/17 611 91833 1669
2020/10/18 422 92255 1673
2020/10/19 313 92568 1675
2020/10/20 475 93043 1678
2020/10/21 611 93654 1684
2020/10/22 609 94263 1693
2020/10/23 742 95005 1705
2020/10/24 712 95717 1710
2020/10/25 486 96203 1717
2020/10/26 401 96604 1724
2020/10/27 646 97250 1729
2020/10/28 724 97974 1732
2020/10/29 803 98777 1743
2020/10/30 767 99544 1754
2020/10/31 866 100410 1765
2020/11/1 603 101013 1773
2020/11/2 480 101493 1779
2020/11/3 860 102353 1785
2020/11/4 606 102959 1793
2020/11/5 1046 104005 1805
2020/11/6 1137 105142 1808
2020/11/7 1301 106443 1811
2020/11/8 934 107377 1817
2020/11/9 770 108147 1828
2020/11/10 1276 109423 1840
2020/11/11 1540 110963 1850
2020/11/12 1624 112587 1866
2020/11/13 1703 114290 1879
2020/11/14 1721 116011 1882
2020/11/15 1428 117439 1884
2020/11/16 949 118388 1902
2020/11/17 1685 120073 1912
2020/11/18 2173 122246 1921
2020/11/19 2382 124628 1942
2020/11/20 2425 127053 1962
2020/11/21 2570 129623 1973
2020/11/22 2146 131769 1980
2020/11/23 1513 133282 1988
2020/11/24 1219 134501 2000
2020/11/25 1925 136426 2021
2020/11/26 2494 138920 2050
2020/11/27 2510 141430 2073
2020/11/28 2667 144097 2105
2020/11/29 2046 146143 2118
2020/11/30 1425 147568 2138
2020/12/1 2014 149582 2171
2020/12/2 2419 152001 2212
2020/12/3 2505 154506 2239
2020/12/4 2435 156941 2282
2020/12/5 2496 159437 2314
2020/12/6 2010 161447 2334
2020/12/7 1502 162949 2381
2020/12/8 2166 165115 2419
2020/12/9 2801 167916 2464
2020/12/10 2966 170882 2501
2020/12/11 2795 173677 2533
2020/12/12 3010 176687 2561
2020/12/13 2375 179062 2584
2020/12/14 1681 180743 2642
2020/12/15 2400 183143 2687
2020/12/16 2990 186133 2738
2020/12/17 3206 189339 2782
2020/12/18 2832 192171 2827
2020/12/19 3040 195211 2872
2020/12/20 2398 197609 2899
2020/12/21 1791 199400 2943
2020/12/22 2674 202074 2993
2020/12/23 3270 205344 3049
2020/12/24 3797 209141 3104
2020/12/25 3934 213075 3154
2020/12/26 3702 216777 3212
2020/12/27 2942 219719 3251
2020/12/28 2397 222116 3305
2020/12/29 3609 225725 3348
2020/12/30 3884 229609 3413
2020/12/31 4500 234109 3459
2021/1/1 3248 237357 3513
2021/1/2 3057 240414 3547
2021/1/3 3139 243553 3598
2021/1/4 3330 246883 3654
2021/1/5 4958 251841 3718
2021/1/6 6066 257907 3790
2021/1/7 7793 265700 3856
2021/1/8 8045 273745 3931
2021/1/9 7528 281273 3995
2021/1/10 6130 287403 4043
2021/1/11 4901 292304 4093
2021/1/12 4630 296934 4144
2021/1/13 6086 303020 4232
2021/1/14 6749 309769 4314
2021/1/15 6795 316564 4379
2021/1/16 7028 323592 4445
2021/1/17 5758 329350 4500
2021/1/18 4947 334297 4547
2021/1/19 5355 339652 4646
2021/1/20 5643 345295 4742
